movie_id,title,genres,year,cleaned_title
1,Toy Story (1995),Animation|Children's|Comedy,1995,Toy Story
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,Jumanji
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men
4,Waiting to Exhale (1995),Comedy|Drama,1995,Waiting to Exhale
5,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II
6,Heat (1995),Action|Crime|Thriller,1995,Heat
7,Sabrina (1995),Comedy|Romance,1995,Sabrina
8,Tom and Huck (1995),Adventure|Children's,1995,Tom and Huck
9,Sudden Death (1995),Action,1995,Sudden Death
10,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It
13,Balto (1995),Animation|Children's,1995,Balto
14,Nixon (1995),Drama,1995,Nixon
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island
16,Casino (1995),Drama|Thriller,1995,Casino
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility
18,Four Rooms (1995),Thriller,1995,Four Rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls
20,Money Train (1995),Action,1995,Money Train
21,Get Shorty (1995),Action|Comedy|Drama,1995,Get Shorty
22,Copycat (1995),Crime|Drama|Thriller,1995,Copycat
23,Assassins (1995),Thriller,1995,Assassins
24,Powder (1995),Drama|Sci-Fi,1995,Powder
25,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas
26,Othello (1995),Drama,1995,Othello
27,Now and Then (1995),Drama,1995,Now and Then
28,Persuasion (1995),Romance,1995,Persuasion
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995,"City of Lost Children, The"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),Drama,1995,Dangerous Minds
32,Twelve Monkeys (1995),Drama|Sci-Fi,1995,Twelve Monkeys
33,Wings of Courage (1995),Adventure|Romance,1995,Wings of Courage
34,Babe (1995),Children's|Comedy|Drama,1995,Babe
35,Carrington (1995),Drama|Romance,1995,Carrington
36,Dead Man Walking (1995),Drama,1995,Dead Man Walking
37,Across the Sea of Time (1995),Documentary,1995,Across the Sea of Time
38,It Takes Two (1995),Comedy,1995,It Takes Two
39,Clueless (1995),Comedy|Romance,1995,Clueless
40,"Cry, the Beloved Country (1995)",Drama,1995,"Cry, the Beloved Country"
41,Richard III (1995),Drama|War,1995,Richard III
42,Dead Presidents (1995),Action|Crime|Drama,1995,Dead Presidents
43,Restoration (1995),Drama,1995,Restoration
44,Mortal Kombat (1995),Action|Adventure,1995,Mortal Kombat
45,To Die For (1995),Comedy|Drama,1995,To Die For
46,How to Make an American Quilt (1995),Drama|Romance,1995,How to Make an American Quilt
47,Seven (Se7en) (1995),Crime|Thriller,1995,Seven (Se7en)
48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,Pocahontas
49,When Night Is Falling (1995),Drama|Romance,1995,When Night Is Falling
50,"Usual Suspects, The (1995)",Crime|Thriller,1995,"Usual Suspects, The"
51,Guardian Angel (1994),Action|Drama|Thriller,1994,Guardian Angel
52,Mighty Aphrodite (1995),Comedy,1995,Mighty Aphrodite
53,Lamerica (1994),Drama,1994,Lamerica
54,"Big Green, The (1995)",Children's|Comedy,1995,"Big Green, The"
55,Georgia (1995),Drama,1995,Georgia
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1995,Kids of the Round Table
57,Home for the Holidays (1995),Drama,1995,Home for the Holidays
58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994,"Postino, Il (The Postman)"
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,1995,"Confessional, The (Le Confessionnal)"
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,1995,"Indian in the Cupboard, The"
61,Eye for an Eye (1996),Drama|Thriller,1996,Eye for an Eye
62,Mr. Holland's Opus (1995),Drama,1995,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea (1996),Comedy|Romance,1996,Two if by Sea
65,Bio-Dome (1996),Comedy,1996,Bio-Dome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1996,Lawnmower Man 2: Beyond Cyberspace
67,Two Bits (1995),Drama,1995,Two Bits
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,French Twist (Gazon maudit)
69,Friday (1995),Comedy,1995,Friday
